feature_name,importance_value,business_meaning
monthly_turnover_kzt,0.187,Average monthly card spend volume in KZT
b2b_payment_ratio,0.156,Share of payments to registered business merchants
cross_border_txn_count,0.134,International transaction frequency (90d)
pos_terminal_count,0.112,Number of linked point-of-sale terminals
credit_utilization_rate,0.098,Utilization of existing credit lines
cash_withdrawal_ratio,0.087,Cash advance share of total volume
merchant_category_diversity,0.079,Entropy of MCC codes used
account_tenure_months,0.071,Months since card activation
weekend_activity_ratio,0.042,Weekend vs weekday spend pattern
delinquency_flag_12m,0.034,Any 30+ DPD events in trailing 12 months
