card_id,user_role,feedback_status,comment,date
MC-KZ-00137,Portfolio Manager,Rejected,Need additional KYC documentation before outreach,2025-11-16
MC-KZ-00132,Branch Manager,Rejected,Strong fit for SME lending — proceed with offer,2026-01-11
MC-KZ-00185,Branch Manager,Rejected,Client already has competing product at another bank,2025-11-17
MC-KZ-00081,Branch Manager,Accepted,Confirmed hidden entrepreneur profile in follow-up call,2026-01-19
MC-KZ-00057,Credit Analyst,Accepted,Need additional KYC documentation before outreach,2025-12-10
MC-KZ-00150,Branch Manager,Rejected,Client already has competing product at another bank,2025-10-26
MC-KZ-00085,Credit Analyst,Rejected,Confirmed hidden entrepreneur profile in follow-up call,2026-01-15
MC-KZ-00063,Branch Manager,Deferred,Risk appetite too high for current portfolio mix,2026-01-29
MC-KZ-00176,Portfolio Manager,Rejected,Approved for merchant acquiring pilot program,2026-01-14
MC-KZ-00126,Branch Manager,Rejected,Client already has competing product at another bank,2026-01-02
MC-KZ-00091,Credit Analyst,Accepted,Risk appetite too high for current portfolio mix,2025-12-09
MC-KZ-00126,Credit Analyst,Deferred,Risk appetite too high for current portfolio mix,2025-10-08
MC-KZ-00135,Relationship Manager,Accepted,Approved for merchant acquiring pilot program,2025-12-25
MC-KZ-00013,Relationship Manager,Rejected,Client already has competing product at another bank,2026-01-16
MC-KZ-00162,Credit Analyst,Accepted,Risk appetite too high for current portfolio mix,2025-10-20
MC-KZ-00003,Credit Analyst,Deferred,Timing not right — revisit Q1 2026,2025-11-17
MC-KZ-00016,Branch Manager,Deferred,Timing not right — revisit Q1 2026,2025-10-03
MC-KZ-00002,Branch Manager,Accepted,Strong fit for SME lending — proceed with offer,2025-12-07
MC-KZ-00185,Portfolio Manager,Deferred,Need additional KYC documentation before outreach,2025-10-03
MC-KZ-00129,Branch Manager,Accepted,Strong fit for SME lending — proceed with offer,2026-01-26
