timestamp,role,question
2026-05-26T14:17:27.008703Z,director,How many high-opportunity customers are there?
2026-05-26T14:17:27.012102Z,director,How many high-opportunity customers are there?
2026-05-29T13:34:05.748032Z,director,Каков общий потенциал скрытых предпринимателей?
2026-05-29T13:49:10.788683Z,director,Что будет если конверсия вырастет до 12%?
2026-05-29T13:49:24.387933Z,director,hi
2026-05-29T13:49:39.801411Z,director,hi
2026-05-29T13:49:46.872681Z,director,Какой расчётный ROI при конверсии 15%?
2026-05-29T13:49:53.214477Z,director,Покажи случаи ложных срабатываний
2026-05-29T13:50:52.775978Z,director,Какой расчётный ROI при конверсии 15%?
2026-05-29T13:55:29.553547Z,director,Каковы ограничения модели?
2026-05-29T13:56:03.309721Z,director,hi
2026-05-29T13:56:08.014137Z,director,Какой банк имеет наибольший потенциал?
2026-05-29T13:58:19.275223Z,guest,hi
2026-05-29T14:01:46.000306Z,director,Каков общий потенциал скрытых предпринимателей?
2026-05-29T14:01:48.789671Z,director,hi
2026-05-29T14:02:02.255093Z,guest,hi
2026-05-29T14:03:46.579683Z,guest,hi
2026-05-29T14:04:22.440620Z,director,Каков общий потенциал скрытых предпринимателей?
2026-05-29T14:04:52.843895Z,guest,hi
2026-05-29T14:05:14.548201Z,director,hi
2026-05-29T14:05:25.407215Z,director,привет
2026-05-29T14:06:26.460303Z,guest,привет
2026-05-29T14:08:21.008876Z,guest,привет
2026-05-29T14:10:40.709296Z,director,hi
2026-05-29T14:12:10.289899Z,director,Что будет если конверсия вырастет до 12%?
2026-05-29T18:48:52.121853Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T18:51:06.334228Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T18:51:15.311900Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T18:53:34.026949Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T18:57:43.242889Z,admin,Which product is recommended most often?
2026-05-29T19:05:50.778810Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T19:08:19.239126Z,admin,What happens if conversion grows to 12%?
2026-05-29T19:40:22.514463Z,admin,What is the total hidden entrepreneur opportunity?
2026-05-29T19:46:01.782001Z,guest,What is the estimated ROI at 15% conversion?
